* Description of frequently used terms in hierarchy_analysis files*
M indicates that the value of that column is in millions
Hier Plc Count(Hierarchical Placement Count) : Number of unique instances of the cell in another cell (Parent)
Flat Plc Count(Flat Placement Count)         : Total number of instances of the cell in the layout

Example : 
                               A                     
                              / \                   Cell  Hier Plc Count Flat Plc Count 
                             /   \                     A               1              1 
                            B     B                    B               2              2 
                           / \  /  \                   C               2              4 
                          C   C C   C                
------------------------------------------------------------------------------------------------------ 


* Cells with flat area > 0.01 of top cell *
Reports cells with flat area > 0.01 of top cell

Flat A(Flat Area) : Total area covered by this cell in the layout(cell area * flat placement count)
Cell A(Cell Area) : Area of this cell
Percent of top    : Percentage of area of this cell w.r.t area of top cell
This table contains a single entry

 Name                                          | Flat A (M um^2), Cell A (M um^2), Flat Plc Count, Hier Plc Count, Percent of top
-----------------------------------------------
 route2                                        |           0.505,           0.505,              1,              1,       100.00 %
===============================================

* Large-Area cells and child area ratio *
This table reports cells with large areas and ratio of its area with total area covered by its children

Num Inst(Number of instances) : Total Number of instances of the cell
Child A(Child Area)           : Total area covered by all the children of the cell
Pct of parent(Percent of area): Percentage of total area covered by its childern w.r.t area of this cell
This table contains a single entry

 Name                                          | Flat A (M um^2), Cell A (M um^2), Num Inst (M), Child A (M um^2), Pct of parent
-----------------------------------------------
 route2                                        |           0.505,           0.505,        0.000,           0.000,        0.00 %
===============================================

* Exploded Cell Information *
Displays information of exploded cells

Parent cell           : Name of the parent cell the cell has exploded into
Exploded Inst Count   : Total number of instances of the cell that has expldoed to the parent cell
Parent Flat Plc Count : Parent cell flat placement count
Parent Hier Plc Count : Parent cell hierarchical placement count
This table contains 114 entries

 Exploded Cell                                 | Parent Cell                                   | Exploded Inst Count, Parent Flat Plc Count, Parent Hier Plc Count
----------------------------------------------- -----------------------------------------------
 SHFILL3_RVT                                   | route2                                        |                1019,                     1,                     1
 DCAP_HVT                                      | route2                                        |                 264,                     1,                     1
 SHFILL2_RVT                                   | route2                                        |                 171,                     1,                     1
 SHFILL1_RVT                                   | route2                                        |                 135,                     1,                     1
 AO22X1_HVT                                    | route2                                        |                  45,                     1,                     1
 INVX0_HVT                                     | route2                                        |                  36,                     1,                     1
 SDFFARX1_HVT                                  | route2                                        |                  24,                     1,                     1
 SDFFARX2_HVT                                  | route2                                        |                  24,                     1,                     1
 SDFFARX2_RVT                                  | route2                                        |                  24,                     1,                     1
 NAND2X0_HVT                                   | route2                                        |                  19,                     1,                     1
 SDFFX1_RVT                                    | route2                                        |                  19,                     1,                     1
 AO22X1_RVT                                    | route2                                        |                  18,                     1,                     1
 SDFFARX1_RVT                                  | route2                                        |                  18,                     1,                     1
 NBUFFX8_RVT                                   | route2                                        |                  15,                     1,                     1
 SDFFARX2_LVT                                  | route2                                        |                  15,                     1,                     1
 XOR2X1_LVT                                    | route2                                        |                  15,                     1,                     1
 XOR2X1_RVT                                    | route2                                        |                  15,                     1,                     1
 NBUFFX2_RVT                                   | route2                                        |                  14,                     1,                     1
 SDFFNARX2_HVT                                 | route2                                        |                  13,                     1,                     1
 SDFFNX2_RVT                                   | route2                                        |                  12,                     1,                     1
 OR2X1_HVT                                     | route2                                        |                  10,                     1,                     1
 TIEH_HVT                                      | route2                                        |                  10,                     1,                     1
 INVX0_RVT                                     | route2                                        |                   9,                     1,                     1
 SDFFNX1_HVT                                   | route2                                        |                   9,                     1,                     1
 MUX21X1_RVT                                   | route2                                        |                   8,                     1,                     1
 NBUFFX2_HVT                                   | route2                                        |                   8,                     1,                     1
 NBUFFX4_RVT                                   | route2                                        |                   8,                     1,                     1
 SDFFNARX1_HVT                                 | route2                                        |                   8,                     1,                     1
 XOR2X1_HVT                                    | route2                                        |                   8,                     1,                     1
 INVX0_LVT                                     | route2                                        |                   7,                     1,                     1
 INVX2_LVT                                     | route2                                        |                   7,                     1,                     1
 INVX4_HVT                                     | route2                                        |                   6,                     1,                     1
 NBUFFX4_HVT                                   | route2                                        |                   6,                     1,                     1
 OA21X1_HVT                                    | route2                                        |                   6,                     1,                     1
 OR2X1_LVT                                     | route2                                        |                   6,                     1,                     1
 SDFFNARX2_RVT                                 | route2                                        |                   6,                     1,                     1
 AND2X1_RVT                                    | route2                                        |                   5,                     1,                     1
 INVX1_LVT                                     | route2                                        |                   5,                     1,                     1
 INVX8_HVT                                     | route2                                        |                   5,                     1,                     1
 NAND2X0_LVT                                   | route2                                        |                   5,                     1,                     1
 NAND2X0_RVT                                   | route2                                        |                   5,                     1,                     1
 OAI22X1_HVT                                   | route2                                        |                   5,                     1,                     1
 SDFFARX1_LVT                                  | route2                                        |                   5,                     1,                     1
 SDFFNX2_HVT                                   | route2                                        |                   5,                     1,                     1
 AND2X1_LVT                                    | route2                                        |                   4,                     1,                     1
 AO21X1_HVT                                    | route2                                        |                   4,                     1,                     1
 INVX4_LVT                                     | route2                                        |                   4,                     1,                     1
 NBUFFX8_HVT                                   | route2                                        |                   4,                     1,                     1
 OR2X1_RVT                                     | route2                                        |                   4,                     1,                     1
 SDFFNARX1_RVT                                 | route2                                        |                   4,                     1,                     1
 SHFILL64_RVT                                  | route2                                        |                   4,                     1,                     1
 XOR3X1_LVT                                    | route2                                        |                   4,                     1,                     1
 AO22X1_LVT                                    | route2                                        |                   3,                     1,                     1
 INVX2_HVT                                     | route2                                        |                   3,                     1,                     1
 MUX21X1_LVT                                   | route2                                        |                   3,                     1,                     1
 NAND3X0_LVT                                   | route2                                        |                   3,                     1,                     1
 OA22X1_HVT                                    | route2                                        |                   3,                     1,                     1
 OA22X1_RVT                                    | route2                                        |                   3,                     1,                     1
 SDFFNX1_LVT                                   | route2                                        |                   3,                     1,                     1
 SDFFX2_HVT                                    | route2                                        |                   3,                     1,                     1
 SDFFX2_RVT                                    | route2                                        |                   3,                     1,                     1
 SRAM2RW64x32                                  | route2                                        |                   3,                     1,                     1
 TIEL_HVT                                      | route2                                        |                   3,                     1,                     1
 XNOR2X1_RVT                                   | route2                                        |                   3,                     1,                     1
 AO21X1_RVT                                    | route2                                        |                   2,                     1,                     1
 INVX4_RVT                                     | route2                                        |                   2,                     1,                     1
 NAND3X0_HVT                                   | route2                                        |                   2,                     1,                     1
 NAND4X0_LVT                                   | route2                                        |                   2,                     1,                     1
 NBUFFX16_HVT                                  | route2                                        |                   2,                     1,                     1
 NBUFFX4_LVT                                   | route2                                        |                   2,                     1,                     1
