* Description of frequently used terms in hierarchy_analysis files*
M indicates that the value of that column is in millions
Hier Plc Count(Hierarchical Placement Count) : Number of unique instances of the cell in another cell (Parent)
Flat Plc Count(Flat Placement Count)         : Total number of instances of the cell in the layout

Example : 
                               A                     
                              / \                   Cell  Hier Plc Count Flat Plc Count 
                             /   \                     A               1              1 
                            B     B                    B               2              2 
                           / \  /  \                   C               2              4 
                          C   C C   C                
------------------------------------------------------------------------------------------------------ 


* Cells with flat area > 0.01 of top cell *
Reports cells with flat area > 0.01 of top cell

Flat A(Flat Area) : Total area covered by this cell in the layout(cell area * flat placement count)
Cell A(Cell Area) : Area of this cell
Percent of top    : Percentage of area of this cell w.r.t area of top cell
This table contains a single entry

 Name                                          | Flat A (M um^2), Cell A (M um^2), Flat Plc Count, Hier Plc Count, Percent of top
-----------------------------------------------
 ORCA_TOP_ADR                                  |           0.505,           0.505,              1,              1,       100.00 %
===============================================

* Large-Area cells and child area ratio *
This table reports cells with large areas and ratio of its area with total area covered by its children

Num Inst(Number of instances) : Total Number of instances of the cell
Child A(Child Area)           : Total area covered by all the children of the cell
Pct of parent(Percent of area): Percentage of total area covered by its childern w.r.t area of this cell
This table contains a single entry

 Name                                          | Flat A (M um^2), Cell A (M um^2), Num Inst (M), Child A (M um^2), Pct of parent
-----------------------------------------------
 ORCA_TOP_ADR                                  |           0.505,           0.505,        0.000,           0.000,        0.00 %
===============================================

* Exploded Cell Information *
Displays information of exploded cells

Parent cell           : Name of the parent cell the cell has exploded into
Exploded Inst Count   : Total number of instances of the cell that has expldoed to the parent cell
Parent Flat Plc Count : Parent cell flat placement count
Parent Hier Plc Count : Parent cell hierarchical placement count
This table contains 143 entries

 Exploded Cell                                 | Parent Cell                                   | Exploded Inst Count, Parent Flat Plc Count, Parent Hier Plc Count
----------------------------------------------- -----------------------------------------------
 SHFILL3_RVT                                   | ORCA_TOP_ADR                                  |                1317,                     1,                     1
 SHFILL1_RVT                                   | ORCA_TOP_ADR                                  |                 274,                     1,                     1
 SHFILL2_RVT                                   | ORCA_TOP_ADR                                  |                 255,                     1,                     1
 AO22X1_HVT                                    | ORCA_TOP_ADR                                  |                 243,                     1,                     1
 NAND2X0_LVT                                   | ORCA_TOP_ADR                                  |                 101,                     1,                     1
 OR2X1_HVT                                     | ORCA_TOP_ADR                                  |                  88,                     1,                     1
 INVX0_HVT                                     | ORCA_TOP_ADR                                  |                  69,                     1,                     1
 AO22X1_RVT                                    | ORCA_TOP_ADR                                  |                  66,                     1,                     1
 DCAP_HVT                                      | ORCA_TOP_ADR                                  |                  65,                     1,                     1
 AND2X1_HVT                                    | ORCA_TOP_ADR                                  |                  53,                     1,                     1
 NAND2X0_HVT                                   | ORCA_TOP_ADR                                  |                  52,                     1,                     1
 SDFFARX1_LVT                                  | ORCA_TOP_ADR                                  |                  47,                     1,                     1
 FADDX1_LVT                                    | ORCA_TOP_ADR                                  |                  41,                     1,                     1
 AND2X1_LVT                                    | ORCA_TOP_ADR                                  |                  40,                     1,                     1
 SDFFNARX1_HVT                                 | ORCA_TOP_ADR                                  |                  40,                     1,                     1
 AO22X1_LVT                                    | ORCA_TOP_ADR                                  |                  36,                     1,                     1
 SDFFX1_LVT                                    | ORCA_TOP_ADR                                  |                  35,                     1,                     1
 INVX0_LVT                                     | ORCA_TOP_ADR                                  |                  32,                     1,                     1
 XOR2X1_LVT                                    | ORCA_TOP_ADR                                  |                  28,                     1,                     1
 OA22X1_HVT                                    | ORCA_TOP_ADR                                  |                  27,                     1,                     1
 NBUFFX2_HVT                                   | ORCA_TOP_ADR                                  |                  26,                     1,                     1
 OR2X1_RVT                                     | ORCA_TOP_ADR                                  |                  26,                     1,                     1
 INVX4_LVT                                     | ORCA_TOP_ADR                                  |                  23,                     1,                     1
 OR2X1_LVT                                     | ORCA_TOP_ADR                                  |                  21,                     1,                     1
 INVX2_LVT                                     | ORCA_TOP_ADR                                  |                  20,                     1,                     1
 SDFFNARX1_RVT                                 | ORCA_TOP_ADR                                  |                  20,                     1,                     1
 XOR3X1_LVT                                    | ORCA_TOP_ADR                                  |                  19,                     1,                     1
 AO21X1_LVT                                    | ORCA_TOP_ADR                                  |                  18,                     1,                     1
 INVX1_LVT                                     | ORCA_TOP_ADR                                  |                  17,                     1,                     1
